chr.names	query.population	reference.population	relative.distances.ks.p.value	relative.distances.ecdf.deviation.area	relative.distances.ecdf.area.correlation	relative.distances.ecdf.deviation.area.p.value	scaled.absolute.min.distance.sum.p.value	scaled.absolute.min.distance.sum.lower.tail	jaccard.measure.p.value	jaccard.measure.lower.tail	projection.test.p.value	projection.test.lower.tail	projection.test.obs.to.exp
chr1	161	93	0.164059757115348	0.0164801189137682	0.061652135652599	0.25	<0.01	TRUE	0.05	FALSE	0.0052606816233508	FALSE	0
chr10	68	39	0.000430779392338154	0.050331463317055	0.199099904965616	<0.01	<0.01	TRUE	0.02	FALSE	0.00164837782701865	FALSE	0
chr11	92	65	0.00822582578591391	0.0381875622706947	0.14639344242862	0.01	<0.01	TRUE	0.08	FALSE	0.00375509861940859	FALSE	0
chr12	77	54	0.438717698303126	0.0257239083872937	0.100440761762355	0.2	<0.01	TRUE	0.02	FALSE	0.00247840603307226	FALSE	0
chr13	21	39	0.317132704022456	0.0439090202022266	0.171726447089448	0.16	<0.01	TRUE	0.01	FALSE	0.000719741695857312	FALSE	0
chr14	41	35	0.158911018211929	0.0386735064213647	0.146161636122485	0.08	0.01	TRUE	<0.01	FALSE	0.00102215626819735	FALSE	0
chr15	47	166	0.0278817114834654	0.0504005972672952	0.192121382696203	<0.01	<0.01	TRUE	0.12	FALSE	0.00604739890788375	FALSE	0
chr16	91	31	0.0446490515215304	0.0272373981529748	0.105588752688592	0.0600000000000001	<0.01	TRUE	0.07	FALSE	0.00253426831307269	FALSE	0
chr17	111	50	0.154284556948224	0.0302883382233268	0.120519799212035	0.03	0.17	TRUE	0.12	FALSE	0.00559857607863645	FALSE	0
chr18	27	18	0.518484185678137	0.0203511703035247	0.00543465494297646	0.83	0.26	TRUE	<0.01	FALSE	0.000518550295976583	FALSE	0
chr19	138	32	0.192644909327854	0.0237934317730076	0.0976828091254365	0.08	0.01	TRUE	0.0600000000000001	FALSE	0.00547749726445168	FALSE	0
chr2	123	89	0.865434147496371	0.0134644688789922	0.031446636921469	0.38	0.04	TRUE	0.03	FALSE	0.00369499169267096	FALSE	0
chr20	54	21	0.14645266414062	0.0372723477469369	0.133436337687752	0.04	<0.01	TRUE	0.01	FALSE	0.00155736696965425	FALSE	0
chr21	18	6	0.000430893095268781	0.113326423302931	0.454253722364087	<0.01	<0.01	TRUE	<0.01	FALSE	0.000173010974624299	FALSE	0
chr22	47	21	0.774264950399752	0.012105735645532	-0.00164282892318779	0.96	<0.01	TRUE	0.05	FALSE	0.00167539717398801	FALSE	0
chr3	79	98	0.522857400670501	0.0228816154420201	0.0863769481902192	0.19	0.01	TRUE	0.03	FALSE	0.00378404214561678	FALSE	0
chr4	58	62	0.0313230322818514	0.0526310436631723	0.208675693761378	<0.01	0.01	TRUE	0.02	FALSE	0.00151736330157515	FALSE	0
chr5	55	59	0.010456644459553	0.0532180752816501	0.213268004404551	<0.01	<0.01	TRUE	0.03	FALSE	0.00174026562029628	FALSE	0
chr6	92	59	0.096541661684226	0.0239987069133045	0.0886706706986011	0.18	<0.01	TRUE	0.04	FALSE	0.00267234006620165	FALSE	0
chr7	90	58	0.133478098157976	0.0293642469656216	0.116055858704886	0.0600000000000001	<0.01	TRUE	<0.01	FALSE	0.00283474804508854	FALSE	0
chr8	55	69	0.48876155000768	0.0170860982159046	0.0520830319441412	0.44	<0.01	TRUE	0.02	FALSE	0.00218229410037485	FALSE	0
chr9	90	43	0.0589966373144771	0.0302101934141552	-0.096802715190115	0.05	<0.01	TRUE	0.05	FALSE	0.0021690682742691	FALSE	0
chrX	32	35	0.443654429753243	0.0252602019218694	0.0768058622845484	0.48	<0.01	TRUE	0.02	FALSE	0.000581017399952755	FALSE	0
chrY	1	1	0.674744753017413	0.13855538033802	-0.325255246982587	0.67	0.4	FALSE	<0.01	FALSE	1.04844854509345e-06	FALSE	0
awhole	1668	1243	9.52246947960589e-10	0.024528902217672	0.0986965788214551	<0.01	<0.01	TRUE	0.41	TRUE	0.05525102232028	FALSE	0
