target	H3K27ac	H3K27ac	H3K27ac	H3K27ac	H3K36me3	H3K36me3	H3K36me3	H3K36me3	H3K4me1	H3K4me1	H3K4me1	H3K4me1	H3K4me2	H3K4me2	H3K4me2	H3K4me2	H3K4me3	H3K4me3	H3K4me3	H3K4me3	H3K79me2	H3K79me2	H3K79me2	H3K79me2	H3K9ac	H3K9ac	H3K9ac	H3K9ac	H3K9me3	H3K9me3	H3K9me3	H3K9me3	H4K20me1	H4K20me1	H4K20me1	H4K20me1	H3K27me3	H3K27me3	H3K27me3	H3K27me3	Methylation	Methylation	Methylation	Methylation
type	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er	wa	ea	wr	er
CTC-228N24.3_ASO_G0245937_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5808263975822683	1.797774484806242	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTC-228N24.3_ASO_G0245937_AD_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6937445313367503	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2587H24.5_ASO_G0267577_01	0.0	0.0	0.0	0.0	12.081237610362384	1.6417879952890502	1.631525756436113	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CTD-2587H24.5_ASO_G0267577_03	0.0	0.0	0.0	0.0	4.679647247720987	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
DNM3OS_ASO_G0230630_AD_04	2.793112053066054	52.63214219975595	0.5458500396159143	0.7262117916052122	0.0	0.0	0.0	0.0	11.89471437261917	0.03880592022525152	0.0956521006942971	-0.0	43.36115523055071	1.435270658356475	0.14081510121965823	-0.0	6.421277720875093	-0.0	1.1670967655603914	-0.0	0.0	0.0	0.0	0.0	1.8060701672887411	-0.0	-0.0	-0.0	1.6906945253761876	-0.0	-0.0	-0.0	3.491970774315017	0.09153907237415614	-0.0	-0.0	0.0	0.0	0.0	0.0	18.81522157507072	0.51885007349072	-0.0	-0.0
EMX2OS_ASO_G0229847_AD_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0767390436833764	23.391016876652586	0.14194004739046223	0.1497925824560227
EMX2OS_ASO_G0229847_AD_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35191501857607016	23.207105174231543	0.11447375741385779	0.2840059521128187
FGD5-AS1_ASO_G0225733_04	1.7617696546540154	0.3170576616355509	2.5179254348760725	0.10283136830796996	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35750879758893395	1.449235953856325	3.2124015863692157	0.33247844789846215	0.0	0.0	0.0	0.0	1.6937445313367503	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.4347302953244857	-0.0	1.5904272646101225	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGD5-AS1_ASO_G0225733_AD_03	9.617432500617712	6.483207556975391	0.4700587455978902	0.7284697998072382	0.0	0.0	0.0	0.0	2.910798960984464	0.06882307271339899	-0.0	-0.0	14.635710135939823	13.753559487179155	0.14081510121965823	0.20277420687524575	5.814031298904253	23.51427982978257	-0.0	0.3367398757869139	0.0	0.0	0.0	0.0	2.8476382016428925	4.326160309801096	0.850037766832846	-0.0	0.0	0.0	0.0	0.0	1.7928560622629073	0.047116587544669616	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGD5-AS1_ASO_G0225733_AD_06	4.928511904005216	1.8215354734723523	-0.0	0.25747753631784326	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.124478877905795	1.3562859859755874	-0.0	-0.0	7.006604511742111	2.996157175897138	0.7217203008002475	-0.0	0.0	0.0	0.0	0.0	2.8476382016428925	0.09601443622147778	0.12862750186903701	-0.0	0.0	0.0	0.0	0.0	1.7928560622629073	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FTX_ASO_G0230590_AD_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.425716025987368	4.17823350553453	1.3234400645963045	-0.0
JPX_ASO_G0225470_05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.365481454456881	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
JPX_ASO_G0225470_AD_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.6327786659082855	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00511_ASO_G0227036_04	2.551155782312337	3.105408072448637	0.3735177845247468	0.7284697998072382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4941750354656773	11.444102869401465	2.25307224003363	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00654_ASO_G0205181_01	0.8662311683582855	1.930937303499419	-0.0	-0.0	0.0	0.0	0.0	0.0	1.4229411307844044	0.28319806560114047	0.27068224113714795	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00657_ASO_G0260032_AD_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45856111721761683	2.1459953981117112	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00657_ASO_G0260032_AD_06	2.079571615552201	-0.0	0.10492130210276068	3.9012299439432745	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00702_ASO_G0233117_02	5.771622124106342	35.91703570386862	-0.0	3.9012299439432745	0.0	0.0	0.0	0.0	45.61540816037098	3.723064507084939	6.7311549314953565	-0.0	51.017729754586114	18.78832768296992	8.570031296586414	-0.0	5.69411498149436	-0.0	0.4669202590049896	-0.0	0.0	0.0	0.0	0.0	4.8477325280861425	6.405982997884537	1.0407382554469915	-0.0	-0.0	3.2664679195916277	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00707_ASO_G0238266_AD_06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.634729938456098	18.93189134599035	0.3883474636597494	0.06819692483784966	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00862_ASO_G0203721_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.741086353040838	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00886_ASO_G0240875_02	0.4110224070931896	3.2001893113176334	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.78864835098925	4.084856715015171	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.266900609846584	2.7452957932643933	-0.0	0.07595079221422307	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00886_ASO_G0240875_03	0.31762780593357465	1.5004084396686799	-0.0	0.4155804826677463	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.000996519810941	5.092802466284962	5.962720342225757	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0728465834306682	1.1148943725330882	4.795594666625233	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00886_ASO_G0240875_10	-0.0	1.096919083836596	1.7080410878902248	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00938_ASO_G0273015_05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8965767355593195	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0
LINC00963_ASO_G0204054_06	3.0133815896809377	7.10495940834507	-0.0	0.5230619274069787	0.0	0.0	0.0	0.0	3.6068270024949745	1.2297070593681403	-0.0	-0.0	3.452612352684025	6.749486241720674	0.03846526525792401	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5872873122017732	5.852886688009769	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00968_ASO_G0246430_03	1.2409845953155878	41.65287938563717	-0.0	0.895034567772091	0.0	0.0	0.0	0.0	2.615084617662024	1.8080314723661248	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6510028212221144	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LINC00968_ASO_G0246430_AD_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.4427544858701984	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAGI2-AS3_ASO_G0234456_01	0.0	0.0	0.0	0.0	1.3469608853224897	-0.0	-0.0	-0.0	1.5653472462705762	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAGI2-AS3_ASO_G0234456_04	4.0283414124574195	-0.0	-0.0	0.3030074471417465	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.140379703439278	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8450507347468272	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPKAPK5-AS1_ASO_G0234608_06	0.663973259681843	2.180965071008678	-0.0	-0.0	1.1662479600127793	2.75801522494622	-0.0	-0.0	5.84750695390076	77.72576724977624	0.4392993841672726	-0.0	0.0	0.0	0.0	0.0	4.348453249274013	23.418487331425947	0.7217203008002475	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.111604458911218	14.346648443841085	-0.0	-0.0	0.0	0.0	0.0	0.0	2.3044848731937595	30.736333292949546	0.36990075730522404	-0.0	0.0	0.0	0.0	0.0
MAPKAPK5-AS1_ASO_G0234608_AD_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.209436951830483	0.3097241110763386	0.3883474636597494	1.3889116789437623	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MAPKAPK5-AS1_ASO_G0234608_AD_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.055664297311713	1.4409831579618895	0.03579133728514522	-0.0	0.0	0.0	0.0	0.0	24.694980155462957	0.1773598284124554	0.7217203008002475	1.08325182273249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.371439347180766	3.450674296136466	-0.0	-0.0	0.0	0.0	0.0	0.0
MEG3_ASO_G0214548_01	8.480850777297858	6.457506792808123	-0.0	6.7350923978814805	2.958726255610709	-0.0	-0.0	-0.0	11.424423281061326	0.968448032737807	-0.0	-0.0	0.0	0.0	0.0	0.0	5.433309427093879	-0.0	-0.0	-0.0	3.57154281057526	-0.0	-0.0	0.04265943822708096	0.0	0.0	0.0	0.0	1.6906945253761876	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MEG3_ASO_G0214548_AD_09	0.19692341611414865	-0.0	6.690659977814057	35.319275558883255	0.38630916471614607	-0.0	2.373195279439176	-0.0	0.4201561004945825	2.286089124477405	11.218603358041472	10.053146104623643	0.0	0.0	0.0	0.0	0.06222270463706562	-0.0	3.101576254598248	0.25601896835928073	0.04937113565108097	1.5789111745341848	3.9121605462163505	0.46456105561880623	0.0	0.0	0.0	0.0	-0.0	-0.0	0.9301483755098603	3.6706608404216445	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5706323116847141	1.6145306436016478	5.9441587883310625	3.0809328611547717
NR2F1-AS1_ASO_G0237187_AD_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5558029786897336	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8060701672887411	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NR2F1-AS1_ASO_G0237187_AD_08	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	-0.0	0.648266417153058	2.175520919269184	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RAB30-AS1_ASO_G0246067_AD_06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.166132587490031	54.01117219479763	17.516778537263498	16.123177110657263	0.35750879758893395	49.03233201428537	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.257255274569792	6.764949137581731	-0.0	0.1497925824560227
RAB30-AS1_ASO_G0246067_AD_09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	1.3804531749993352	0.14081510121965823	-0.0	0.30322387181915794	5.39946639920512	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.091648557113232	0.5713751539875183	-0.0	-0.0
RP11-115C21.2_ASO_G0246089_02	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.629283240011368	1.4835848076272373	-0.0	0.1497925824560227
RP11-137L10.6_ASO_G0221817_04	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.378861853908621	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-150O12.1_ASO_C013368_01	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.49538509509586054	1.3443727766651041	0.3883474636597494	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-150O12.1_ASO_C013368_02	9.61047528405585	3.0091054531540555	0.4055826923444644	0.018157042271444563	2.481145958367809	-0.0	-0.0	-0.0	6.0972532759760485	0.20121137452313131	1.855289484434231	0.014258519269958176	9.709303214418364	8.144289486821593	3.467968970867485	-0.0	3.985066479878155	15.995462652689966	3.7961469411674407	11.931619631377469	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	-0.0	2.3188227359985096	-0.0	1.1699112167343422	0.0	0.0	0.0	0.0
RP11-221N13.3_ASO_G0256268_AD_03	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3664452437436934	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	1.8854773956191087	-0.0	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
RP11-221N13.3_ASO_G0256268_AD_06	2.6375391679370894	0.16458169102654718	-0.0	0.01289634585427223	0.0	0.0	0.0	0.0	1.5653472462705762	0.835660991520873	-0.0	-0.0	1.8954031373383153	0.4770654955962078	0.14081510121965823	-0.0	4.990968156301754	2.4887803805456663	-0.0	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.386565380525706	3.0647381783072647	-0.0	-0.0	0.0	0.0	0.0	0.0
RP11-221N13.3_ASO_G0256268_AD_07	1.2372502947333894	1.944008725692086	-0.0	0.08747527712845546	0.0	0.0	0.0	0.0	2.2396026070741066	-0.0	0.8187087815906513	-0.0	1.5268585969618238	0.8869923379789469	1.534098494458891	-0.0	2.661968928966586	4.342417659312126	2.031097124135747	6.043121977342727	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09321867836821623	1.8426096109052164	1.2025410788122821	-0.0	0.0	0.0	0.0	0.0
